hcp_id,region,product,month,channel,promo_contacts,sales_units
1,North,Oncology-A,1,Email,2,176.36
1,North,Oncology-A,2,Webinar,1,133.84
1,North,Oncology-A,3,Email,5,236.38
1,North,Oncology-A,4,Field,0,166.13
1,North,Oncology-A,5,Webinar,5,240.47
1,North,Oncology-A,6,Field,1,172.48
1,North,Oncology-A,7,Field,4,244.39
1,North,Oncology-A,8,Email,0,116.16
1,North,Oncology-A,9,Field,3,168.88
1,North,Oncology-A,10,Webinar,3,196.63
1,North,Oncology-A,11,Webinar,1,156.85
1,North,Oncology-A,12,Field,5,218.19
2,South,Oncology-B,1,Email,4,121.1
2,South,Oncology-B,2,Email,1,37.76
2,South,Oncology-B,3,Webinar,2,38.99
2,South,Oncology-B,4,Webinar,0,43.75
2,South,Oncology-B,5,Email,2,82.96
2,South,Oncology-B,6,Webinar,3,76.25
2,South,Oncology-B,7,Webinar,0,43.5
2,South,Oncology-B,8,Webinar,1,61.34
2,South,Oncology-B,9,Field,3,90.33
2,South,Oncology-B,10,Field,1,23.25
2,South,Oncology-B,11,Field,5,104.98
2,South,Oncology-B,12,Webinar,2,58.85
3,East,Immunology-A,1,Email,2,106.89
3,East,Immunology-A,2,Webinar,3,117.11
3,East,Immunology-A,3,Webinar,1,92.59
3,East,Immunology-A,4,Email,2,141.67
3,East,Immunology-A,5,Field,1,84.34
3,East,Immunology-A,6,Webinar,3,86.32
3,East,Immunology-A,7,Field,2,184.94
3,East,Immunology-A,8,Email,3,102.77
3,East,Immunology-A,9,Email,3,127.02
3,East,Immunology-A,10,Webinar,1,45.22
3,East,Immunology-A,11,Webinar,2,108.35
3,East,Immunology-A,12,Webinar,1,74.61
4,West,Diabetes-A,1,Field,4,123.3
4,West,Diabetes-A,2,Webinar,1,36.31
4,West,Diabetes-A,3,Field,2,45.73
4,West,Diabetes-A,4,Email,5,130.16
4,West,Diabetes-A,5,Webinar,2,75.26
4,West,Diabetes-A,6,Webinar,3,131.77
4,West,Diabetes-A,7,Email,1,25.0
4,West,Diabetes-A,8,Email,3,84.59
4,West,Diabetes-A,9,Field,1,61.94
4,West,Diabetes-A,10,Field,1,58.46
4,West,Diabetes-A,11,Webinar,2,93.58
4,West,Diabetes-A,12,Webinar,2,58.58
5,North,Oncology-A,1,Email,4,150.7
5,North,Oncology-A,2,Email,0,76.55
5,North,Oncology-A,3,Email,6,190.17
5,North,Oncology-A,4,Webinar,0,56.06
5,North,Oncology-A,5,Webinar,2,97.05
5,North,Oncology-A,6,Email,3,84.34
5,North,Oncology-A,7,Field,1,71.86
5,North,Oncology-A,8,Field,1,70.0
5,North,Oncology-A,9,Field,2,92.61
5,North,Oncology-A,10,Webinar,1,103.15
5,North,Oncology-A,11,Email,1,86.33
5,North,Oncology-A,12,Field,1,105.09
6,South,Oncology-B,1,Webinar,2,77.47
6,South,Oncology-B,2,Email,1,57.04
6,South,Oncology-B,3,Field,3,74.66
6,South,Oncology-B,4,Field,1,78.48
6,South,Oncology-B,5,Webinar,0,52.83
6,South,Oncology-B,6,Webinar,6,143.17
6,South,Oncology-B,7,Webinar,3,102.87
6,South,Oncology-B,8,Email,1,67.67
6,South,Oncology-B,9,Email,2,69.26
6,South,Oncology-B,10,Email,2,109.97
6,South,Oncology-B,11,Webinar,3,106.45
6,South,Oncology-B,12,Webinar,4,138.21
7,East,Immunology-A,1,Webinar,1,108.89
7,East,Immunology-A,2,Email,1,50.82
7,East,Immunology-A,3,Field,2,152.9
7,East,Immunology-A,4,Webinar,4,127.34
7,East,Immunology-A,5,Field,1,112.34
7,East,Immunology-A,6,Email,5,110.54
7,East,Immunology-A,7,Webinar,1,127.02
7,East,Immunology-A,8,Field,4,156.94
7,East,Immunology-A,9,Email,3,122.31
7,East,Immunology-A,10,Field,2,111.99
7,East,Immunology-A,11,Email,5,183.54
7,East,Immunology-A,12,Webinar,2,166.31
8,West,Diabetes-A,1,Field,2,81.03
8,West,Diabetes-A,2,Email,2,125.08
8,West,Diabetes-A,3,Email,3,133.45
8,West,Diabetes-A,4,Webinar,2,117.55
8,West,Diabetes-A,5,Webinar,0,91.34
8,West,Diabetes-A,6,Webinar,2,119.01
8,West,Diabetes-A,7,Webinar,2,111.15
8,West,Diabetes-A,8,Field,0,35.26
8,West,Diabetes-A,9,Webinar,4,142.97
8,West,Diabetes-A,10,Webinar,3,112.85
8,West,Diabetes-A,11,Webinar,0,111.93
8,West,Diabetes-A,12,Email,3,95.08
9,North,Oncology-A,1,Field,3,118.31
9,North,Oncology-A,2,Email,2,66.32
9,North,Oncology-A,3,Email,3,94.71
9,North,Oncology-A,4,Webinar,1,96.46
9,North,Oncology-A,5,Field,2,116.31
9,North,Oncology-A,6,Email,2,90.16
9,North,Oncology-A,7,Webinar,1,67.45
9,North,Oncology-A,8,Field,1,78.77
9,North,Oncology-A,9,Webinar,3,47.62
9,North,Oncology-A,10,Field,1,63.11
9,North,Oncology-A,11,Field,1,79.13
9,North,Oncology-A,12,Email,4,108.96
10,South,Oncology-B,1,Webinar,2,142.95
10,South,Oncology-B,2,Webinar,4,155.38
10,South,Oncology-B,3,Field,2,174.8
10,South,Oncology-B,4,Field,0,104.51
10,South,Oncology-B,5,Webinar,1,76.88
10,South,Oncology-B,6,Field,1,79.89
10,South,Oncology-B,7,Field,2,110.1
10,South,Oncology-B,8,Email,4,188.29
10,South,Oncology-B,9,Webinar,4,185.28
10,South,Oncology-B,10,Field,1,152.11
10,South,Oncology-B,11,Email,4,165.6
10,South,Oncology-B,12,Email,1,125.95
11,East,Immunology-A,1,Field,1,128.46
11,East,Immunology-A,2,Webinar,1,96.68
11,East,Immunology-A,3,Field,3,132.5
11,East,Immunology-A,4,Field,4,145.94
11,East,Immunology-A,5,Email,3,197.03
11,East,Immunology-A,6,Webinar,5,159.93
11,East,Immunology-A,7,Field,3,171.64
11,East,Immunology-A,8,Email,0,75.83
11,East,Immunology-A,9,Email,3,152.7
11,East,Immunology-A,10,Field,4,164.84
11,East,Immunology-A,11,Email,5,152.74
11,East,Immunology-A,12,Webinar,5,227.68
12,West,Diabetes-A,1,Field,0,117.03
12,West,Diabetes-A,2,Field,4,185.18
12,West,Diabetes-A,3,Field,1,129.71
12,West,Diabetes-A,4,Email,2,114.48
12,West,Diabetes-A,5,Email,0,126.51
12,West,Diabetes-A,6,Field,6,220.27
12,West,Diabetes-A,7,Webinar,2,141.13
12,West,Diabetes-A,8,Email,0,107.29
12,West,Diabetes-A,9,Email,4,256.36
12,West,Diabetes-A,10,Email,2,149.47
